Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),112.99,56.35,334.92,311.35,295.87,290.34,114.09,86.26,72.59
Time To Second Token (ms),10.40,0.06,51.13,47.37,41.28,22.81,12.72,11.99,0.16
Request Latency (ms),"1,151.70",186.96,"1,542.29","1,518.74","1,402.74","1,335.35","1,312.98","1,300.65","1,173.79"
Inter Token Latency (ms),11.88,3.89,12.97,12.91,12.72,12.65,12.49,12.24,11.87
Output Sequence Length (tokens),87.53,1.00,101.00,101.00,100.00,100.00,100.00,100.00,99.00
Input Sequence Length (tokens),"1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00"

Metric,Value
Output Token Throughput (per sec),551.68
Request Throughput (per sec),6.30
Request Count (count),64.00
