Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),289.67,52.40,933.16,879.26,844.84,837.22,423.59,111.59,79.70
Time To Second Token (ms),8.03,0.02,93.90,72.56,41.43,34.28,9.79,0.12,0.09
Request Latency (ms),"1,190.22",82.81,"2,102.48","2,100.46","1,952.48","1,818.56","1,298.85","1,172.10","1,093.26"
Inter Token Latency (ms),10.30,0.09,15.15,14.68,12.41,12.03,11.65,10.80,10.42
Output Sequence Length (tokens),87.39,1.00,101.00,101.00,100.00,100.00,100.00,100.00,99.00
Input Sequence Length (tokens),"1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00","1,024.00"

Metric,Value
Output Token Throughput (per sec),996.77
Request Throughput (per sec),11.41
Request Count (count),64.00
