Metric,avg,min,max,p99,p95,p90,p75,p50,p25
Time To First Token (ms),45.67,18.61,167.60,162.54,150.84,132.53,41.01,33.29,24.19
Time To Second Token (ms),1.90,0.05,19.32,17.87,10.91,3.51,2.67,0.21,0.12
Request Latency (ms),360.15,65.03,472.08,460.85,414.34,380.10,367.81,362.77,357.84
Inter Token Latency (ms),3.28,2.35,4.10,3.73,3.49,3.46,3.41,3.35,3.26
Output Sequence Length (tokens),97.06,11.00,100.00,100.00,100.00,100.00,100.00,100.00,99.00
Input Sequence Length (tokens),"1,024.17","1,024.00","1,025.00","1,025.00","1,025.00","1,025.00","1,024.00","1,024.00","1,024.00"

Metric,Value
Output Token Throughput (per sec),"2,064.17"
Request Throughput (per sec),21.27
Request Count (count),64.00
